Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Maths,Term 2,Tamil,(ஈ) (உ) (ஆ) (இ) (அ),i. ii. iii. iv. v.,False
Class 6,Maths,Term 2,Tamil,விற்ற விலை இலலாபம்,i),False
Class 6,Maths,Term 2,Tamil,வினாடிகள் வினாடிகள்,i) ii),False
Class 6,Maths,Term 2,Tamil,விற்ற விலை இலலாபம்,ii),False
Class 6,Maths,Term 2,Tamil,நிமிடடஙகள் மணி நிமிடடஙகள்,iii) iv),False
Class 6,Maths,Term 2,Tamil,விற்ற விலை நட்டம்,iii),False
Class 6,Maths,Term 2,Tamil,மணி,v),False
Class 6,Maths,Term 2,Tamil,விற்ற விலை தள்ளுபடி,iv),False
Class 6,Maths,Term 2,Tamil,விற்ற விலை அடக்கடக்க விலை,v),False
Class 6,Maths,Term 2,Tamil,மு. ப மு.ப பி.ப,i) ii) iii),False
Class 6,Maths,Term 2,Tamil,மு. ப நள்ளிரவு,iv) v),False
Class 6,Maths,Term 2,Tamil,மணி மணி மணி,i) ii) iii),False
Class 6,Maths,Term 2,Tamil,அல்லது மணி,iv),False
Class 6,Maths,Term 2,Tamil,மணி நிமிடடஙகள் மணி நிமிடடஙகள்,i) ii),False
Class 6,Maths,Term 2,Tamil,மணி மணி நிமிடடஙகள்,iii) iv),False
Class 6,Maths,Term 2,Tamil,ஆறாம் வகுப்பு கணக்கு,6th_Maths_Term2_TM_Answers.indd 94,True
Class 6,Maths,Term 2,Tamil,க�ொள்குறி வகை வினாக்கள்,i) 40° ii) 70° iii) 60°,True
Class 6,Maths,Term 2,Tamil,அ) குறித்த விலை 17. அ) அடக்கடக்க விலை,iv) 40° v) 30° vi) 40°,True
Class 6,Maths,Term 2,Tamil,"குறுங்கோண முக்கோணம்,",ii),False
Class 6,Maths,Term 2,Tamil,"செங்கோண முக்கோணம்,",iii),False
Class 6,Maths,Term 2,Tamil,"குறுங்கோண முக்கோணம்,",iv),False
Class 6,Maths,Term 2,Tamil,"குறுங்கோண முக்கோணம்,",v),False
