Class,Subject,Term,Medium,Tamil_Term,English_Term
Class 6,Maths,Term 2,Tamil,உற்பத்தியாளர்,Manufacturer
Class 6,Maths,Term 2,Tamil,புறப்ப்படும் நேரம்,Departure time
Class 6,Maths,Term 2,Tamil,ஊசல் ககடிகாரம்,Pendulum clock
Class 6,Maths,Term 2,Tamil,பிற்பகல்,Post meridiam
Class 6,Maths,Term 2,Tamil,எண்கணித க�ோவை,Numerical expression
Class 6,Maths,Term 2,Tamil,மடங்கு,Multiple
Class 6,Maths,Term 2,Tamil,ஒளியாண்டு,Light year
Class 6,Maths,Term 2,Tamil,மணற்கடிகாரம்,Sand clock
Class 6,Maths,Term 2,Tamil,ஒற்றை எண்,Odd number
Class 6,Maths,Term 2,Tamil,மணி முள்,Hour hand
Class 6,Maths,Term 2,Tamil,கடைக்காரர்,Shopkeeper
Class 6,Maths,Term 2,Tamil,வரைபடம்,Tree diagramகக
Class 6,Maths,Term 2,Tamil,மீச்சிறு ப�ொது மடங்கு,Least Common Multiple
Class 6,Maths,Term 2,Tamil,அளவு,Volume
Class 6,Maths,Term 2,Tamil,ரு ப�ொது காரணி,Highest Common Factor
Class 6,Maths,Term 2,Tamil,காரணி,Factor
Class 6,Maths,Term 2,Tamil,முக்ககோணச் சமனின்மை,Triangle Inequality
Class 6,Maths,Term 2,Tamil,பற்றிய படிப்பு,Horology
Class 6,Maths,Term 2,Tamil,மூலை மடடம்,Set square
Class 6,Maths,Term 2,Tamil,கிளைககள்,Branches
Class 6,Maths,Term 2,Tamil,முக்ககோணம்,Triangle
Class 6,Maths,Term 2,Tamil,கீழின அலகுககள்,Lower units
Class 6,Maths,Term 2,Tamil,முககவர்,Dealer
Class 6,Maths,Term 2,Tamil,கீழ் பாககம்,Bottom
Class 6,Maths,Term 2,Tamil,முழம்,Cubit
Class 6,Maths,Term 2,Tamil,குவார்ட்ஸ் ககடிகாரம்,Quartz clock
Class 6,Maths,Term 2,Tamil,முற்பகல்,Ante meridiam
Class 6,Maths,Term 2,Tamil,குறித்த விலை,Marked price
Class 6,Maths,Term 2,Tamil,மூன்றன் த�ொகுதி,Triplet
Class 6,Maths,Term 2,Tamil,குறுங்ககோண முக்ககோணம்,Acute angled triangle
Class 6,Maths,Term 2,Tamil,மெட்ரிக் அளவைககள்,Metric units
Class 6,Maths,Term 2,Tamil,க�ொள்ளள்ளளவு,Capacity
Class 6,Maths,Term 2,Tamil,மெழுகுவர்த்தி ககடிகாரம்,Candle clock
Class 6,Maths,Term 2,Tamil,க�ோட்டுத்துண்டு,Line segment
Class 6,Maths,Term 2,Tamil,மேலின அலகுககள்,Higher units
Class 6,Maths,Term 2,Tamil,க�ோணங்கள்,Angles
Class 6,Maths,Term 2,Tamil,லாபம் / ஈட்டுத் ெதாைகக,Profit
Class 6,Maths,Term 2,Tamil,சமபக்க முக்ககோணம்,Equilateral triangle
Class 6,Maths,Term 2,Tamil,லீப் ஆண்டு / ெநட்டாண்டு,Leap year
Class 6,Maths,Term 2,Tamil,சாண்,Span
Class 6,Maths,Term 2,Tamil,வந்து சேரும் நேரம்,Arrival time
Class 6,Maths,Term 2,Tamil,சாதாரண நேரம்,Ordinary time
Class 6,Maths,Term 2,Tamil,வானவியல் அலகு,Astronomical units
Class 6,Maths,Term 2,Tamil,சார் பகா எண்கள்,Co-prime numbers
Class 6,Maths,Term 2,Tamil,விரிக�ோண முக்ககோணம்,Obtuse angled triangle
Class 6,Maths,Term 2,Tamil,சுற்றி வருவது,Revolves
Class 6,Maths,Term 2,Tamil,விளிம்பு,Edge
Class 6,Maths,Term 2,Tamil,செங்குத்துக் க�ோடுககள்,Perpendicular lines
Class 6,Maths,Term 2,Tamil,விற்ற விலை,Selling price
Class 6,Maths,Term 2,Tamil,செங்ககோண முக்ககோணம்,Right angled triangle
Class 6,Maths,Term 2,Tamil,வெற்றிடம்,Vacuum
Class 6,Maths,Term 2,Tamil,"சி. பிரசாந்த், செஞ்சி.",In-House - QC
Class 6,Maths,Term 2,Tamil,துணை பேராசிரியர்,L.N. அரசு கலைக் கல்லூரி
Class 6,Maths,Term 2,Tamil,பட்டதாரி ஆசிரியர் (ஓய்வு),EMIS த�ொழில்நுடபக் குழு
Class 6,Maths,Term 2,Tamil,ஒருங்கிணைந்தந்த பள்ளிக்கல்வி இயக்ககம்.,6th_Maths_Term2_TM_Answers.indd   98
Class 6,Maths,Term 2,Tamil,குறிப்பு,6th_Maths_Term2_TM_Answers.indd   99
Class 6,Maths,Term 2,Tamil,குறிப்பு,6th_Maths_Term2_TM_Answers.indd   100
Class 6,Maths,Term 3,Tamil,கணிதக் கலைச்சொற்கற்கள்,MATHEMATICAL TERMSகக
Class 6,Maths,Term 3,Tamil,அகலம்,Breadth
Class 6,Maths,Term 3,Tamil,அடிப்பககம்,Base
Class 6,Maths,Term 3,Tamil,அடுத்தடுத்த,Consecutive
Class 6,Maths,Term 3,Tamil,அரை சதுரஙகள்,Half squares
Class 6,Maths,Term 3,Tamil,அளவு மாற்றம்,Resize
Class 6,Maths,Term 3,Tamil,அளவை,Measure
Class 6,Maths,Term 3,Tamil,அறிவுறுத்துததல்,Instruction
Class 6,Maths,Term 3,Tamil,இடப்ெபபயர்வு,Translation
Class 6,Maths,Term 3,Tamil,இடப்ெபபயர்வுச் சமச்சீர்,Translational
Class 6,Maths,Term 3,Tamil,இயல் எண்,symmetry
Class 6,Maths,Term 3,Tamil,இறங்குவரிசை,Natural number
Class 6,Maths,Term 3,Tamil,உட்புறற எல்லை,Descending order
Class 6,Maths,Term 3,Tamil,உத்தேச மதிப்பு,Inner boundary
Class 6,Maths,Term 3,Tamil,உயரம்,Estimated value
Class 6,Maths,Term 3,Tamil,உருமாற்றம்,Height
Class 6,Maths,Term 3,Tamil,எண் க�ோடு,Reshape
Class 6,Maths,Term 3,Tamil,எதிரெண்,Number line
Class 6,Maths,Term 3,Tamil,எதிர�ொளிப்பு,Opposite number
Class 6,Maths,Term 3,Tamil,எதிர�ொளிப்பு சமச்சீர்,Reflection
Class 6,Maths,Term 3,Tamil,எதிர்மறை,Reflection symmetry
Class 6,Maths,Term 3,Tamil,/ நேர்மாறு,Inverse
Class 6,Maths,Term 3,Tamil,எல்லை,Boundary
Class 6,Maths,Term 3,Tamil,ஏறுவரிசை,Ascending order
Class 6,Maths,Term 3,Tamil,ஒழுஙகற்ற வடிவஙகள்,Irregular shapes
Class 6,Maths,Term 3,Tamil,ஒழுங்கு அறுங்கோணம்,Regular hexagon
Class 6,Maths,Term 3,Tamil,ஒழுங்கு ஐங்கோணம்,Regular pentagon
Class 6,Maths,Term 3,Tamil,ஒழுங்கு வடிவம்,Regular shapes
Class 6,Maths,Term 3,Tamil,ஓரலகுச் சதுரம்,Unit square
Class 6,Maths,Term 3,Tamil,ஓரலகுப் பின்னம்,Unit fraction
Class 6,Maths,Term 3,Tamil,ஓரினப் பின்னம்,Like fraction
Class 6,Maths,Term 3,Tamil,கலப்பு பின்னம்,Mixed fraction
Class 6,Maths,Term 3,Tamil,கிடைமட்டக் ேகாடு,Horizontal line
Class 6,Maths,Term 3,Tamil,குத்துக் க�ோடு,Vertical line
Class 6,Maths,Term 3,Tamil,குறியீட்டு எண்,Signed number
Class 6,Maths,Term 3,Tamil,குறை எண்,Negative number
Class 6,Maths,Term 3,Tamil,குறை முழுககள்,Negative integers
Class 6,Maths,Term 3,Tamil,குறையற்ற முழுககள்,Non-negative integers
Class 6,Maths,Term 3,Tamil,கூட்டு வடிவஙகள்,Combined shapes
Class 6,Maths,Term 3,Tamil,சதுர அலகுகள்,Square units
Class 6,Maths,Term 3,Tamil,சதுரம்,Square
