Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Maths,Term 1,Tamil,தகவல் செயலாக்்கம் :,https://gpuzzles.com/quiz/how-many-triangles-are-there,False
Class 6,Maths,Term 1,Tamil,120 6 ஆம் வகுப்பு கணக்கு,puzzles-with-answers/,True
Class 6,Maths,Term 1,Tamil,பயிற்சி 1.1,"1) (i) 10,00,000",True
Class 6,Maths,Term 1,Tamil,ஐந்்ததாயிரம்,(iii),False
Class 6,Maths,Term 1,Tamil,ததவறு,(i),False
Class 6,Maths,Term 1,Tamil,ததவறு,(ii),False
Class 6,Maths,Term 1,Tamil,சரி ததவறு,(iii) (iv),False
Class 6,Maths,Term 1,Tamil,"6) இந்திய முறை: 9,99,999 (ஒன்்பது இலட்சத்து தொ�ொண்ணூற்று ஒன்்பது ஆயிரத்து தொ�ொள்்ளளாாயிரத்து","(iii) 634,567,105 (iv) 1,234,567,890",True
Class 6,Maths,Term 1,Tamil,எழுபபத்து ஐந்து இலட்சத்து முப்்பத்து இரண்்டடாாயிரத்து நூற்று ஐந்து,(i),False
Class 6,Maths,Term 1,Tamil,ஒன்்பது கோ>ோடி எழுபபத்து ஐந்து இலட்சத்து அறுபபத்து மூன்று ஆயிரத்து நாானூற்று ஐம்்பத்து மூன்று,(ii),False
Class 6,Maths,Term 1,Tamil,முன்னூற்று நாாற்்பத்து ஐந்்ததாயிரத்து அறுநூற்று எழுபபத்து எட்டு,(i),False
Class 6,Maths,Term 1,Tamil,எட்டு மில்லியன் முன்னூற்று நாாற்்பத்து மூன்று ஆயிரத்து எழுநூற்று பபத்து,(ii),False
Class 6,Maths,Term 1,Tamil,நூற்று மூன்று மில்லியன் நாானூற்று ஐம்்பத்து ஆறு ஆயிரத்து எழுநூற்று எண்்பத்து ஒன்்பது,iii),False
Class 6,Maths,Term 1,Tamil,"11) 1,000,000 (ஒரு மில்லியன்)","9) (i) 2,30,51,980 (ii) 66,345,027 (iii) 789,213,456",True
Class 6,Maths,Term 1,Tamil,பயிற்சி 1.2,1) (i) 48792< 48972,True
Class 6,Maths,Term 1,Tamil,சரி,(iii),False
Class 6,Maths,Term 1,Tamil,ஆனைமுடி ஆனைமுடி தொ�ொட்்டபெட்்டடாா வெ ள்்ளயங்கிரி மகேந்திரகிரி மீ,(i) (ii) (iii),False
Class 6,Maths,Term 1,Tamil,விடைகள் 121,6th_Maths_TM_Term1_Answer.indd 6th_Maths_TM_Term1_Answer.indd 121 121,True
Class 6,Maths,Term 1,Tamil,பயிற்சி 1.3,1) (i) 360 (ii) 150 (iii) 1,True
Class 6,Maths,Term 1,Tamil,ததவறு சரி ததவறு,(i) (ii) (iii),False
Class 6,Maths,Term 1,Tamil,மிதிவண்டிகள்,(i) (ii) (ii),False
Class 6,Maths,Term 1,Tamil,பயிற்சி 1.4,"1) (i) 800 (ii) 1000 (iii) 90,000",True
Class 6,Maths,Term 1,Tamil,புறவய வினாக்்கள்,"4) 1,90,000 5) (i) 12,300 (ii) 18,99,600",True
Class 6,Maths,Term 1,Tamil,பயிற்சி 1.5,1) (i) 1,True
Class 6,Maths,Term 1,Tamil,சுழியம்,(iv),False
Class 6,Maths,Term 1,Tamil,ஒன்று,(v),False
Class 6,Maths,Term 1,Tamil,ததவறு ததவறு,(i) (ii),False
Class 6,Maths,Term 1,Tamil,சரி,(iv),False
Class 6,Maths,Term 1,Tamil,சரி,(v),False
Class 6,Maths,Term 1,Tamil,கூட்்டலின் பபரிமாாற்றுப் பபண்பு,(i),False
Class 6,Maths,Term 1,Tamil,பெருக்்கலின் சேர்ப்புப் பபண்பு,(ii),False
Class 6,Maths,Term 1,Tamil,கூட்்டல் சமனி,(iii),False
Class 6,Maths,Term 1,Tamil,பெருக்்கல் சமனி,(iv),False
Class 6,Maths,Term 1,Tamil,கூட்்டல் மீதானன,(v),False
Class 6,Maths,Term 1,Tamil,பெருக்்கலின் பபங்கீடு,"4) (i) 5100 (ii) 3,00,000 (iii) 13,200 (iv) 334",True
Class 6,Maths,Term 1,Tamil,இல் புலிகளின் எண்ணிக்்ககை,(i),False
Class 6,Maths,Term 1,Tamil,மற்றும் ஆம் ஆண்டுகளுக்கு இடையே புலிகளின் எண்ணிக்்ககை,(iii),False
Class 6,Maths,Term 1,Tamil,இந்திய முறை: இரண்டு கோ>ோடி ஐம்்பத்து ஒன்்பது இலட்சத்து நாாற்்பத்து ஓராாயிரத்து தொ�ொள்்ளளாாயிரம்,(i),False
Class 6,Maths,Term 1,Tamil,ன்்னனாாட்டு முறை: இருபபத்து ஐந்து மில்லியன் தொ�ொள்்ளளாாயிரத்து நாாற்்பத்து ஓராாயிரத்து தொ�ொள்்ளளாாயிரம்,"(ii) 5,50,500",True
Class 6,Maths,Term 1,Tamil,எண்்பத்து ஆறு கோ>ோடி நாாற்்பது இலட்சத்து எழுநூற்று முப்்பது,(iii),False
Class 6,Maths,Term 1,Tamil,பத்தொ ன்்பது மில்லியன் எண்ணூற்று எண்்பத்து எட்டு ஆயிரத்து எண்ணூறு,(iv),False
Class 6,Maths,Term 1,Tamil,அறுபபது இலட்சத்து ஐம்்பத்து மூன்்றறாாயிரத்து நூறு,"(v) இந்திய முறை : 60,53,100",False
Class 6,Maths,Term 1,Tamil,122 6 ஆம் வகுப்பு கணக்கு,6th_Maths_TM_Term1_Answer.indd 6th_Maths_TM_Term1_Answer.indd 122 122,True
Class 6,Maths,Term 1,Tamil,நாாற்்ககாாலிகளை வரிசையில் (நிரலில்) போ�ோடட லாாம்.,(i),False
Class 6,Maths,Term 1,Tamil,மீததம் நாாற்்ககாாலிகள் இருக்கும்.,(ii),False
Class 6,Maths,Term 1,Tamil,மாாறிகள்,(i),False
Class 6,Maths,Term 1,Tamil,ததவறு சரி ததவறு சரி,(i) (ii) (iii) (iv),False
Class 6,Maths,Term 1,Tamil,அறிவழகனின் வயது,‘n-30’,False
Class 6,Maths,Term 1,Tamil,ஐ ஆல் வகுக்்க,(i) x,False
Class 6,Maths,Term 1,Tamil,இன் மடடங்குடடன் ஐக் கூட்டுக,(ii) x,False
